Happiness Rank,Country,University Count
1,Finland,10
2,Denmark,5
3,Norway,4
5,Netherlands,13
6,Switzerland,9
7,Sweden,8
8,New Zealand,8
9,Canada,26
10,Austria,8
11,Australia,37
12,Costa Rica,4
13,Israel,6
15,United Kingdom,76
16,Ireland,8
17,Germany,45
18,Belgium,8
19,United States,157
20,Czech Republic,5
21,United Arab Emirates,8
23,Mexico,14
24,France,35
25,Taiwan,17
26,Chile,11
28,Saudi Arabia,8
29,Qatar,1
30,Spain,25
31,Panama,1
32,Brazil,22
33,Uruguay,2
34,Singapore,3
36,Italy,30
37,Bahrain,1
38,Slovakia,3
40,Poland,14
42,Lithuania,4
43,Colombia,11
44,Slovenia,2
47,Argentina,15
48,Romania,5
50,Ecuador,3
51,Kuwait,1
52,Thailand,8
53,Latvia,3
54,South Korea,30
55,Estonia,3
58,Japan,44
60,Kazakhstan,10
62,Hungary,6
65,Peru,3
66,Portugal,7
67,Pakistan,7
68,Russia,27
69,Philippines,4
70,Serbia,1
75,Croatia,1
76,Hong Kong,7
78,Bosnia and Herzegovina,1
79,Turkey,10
80,Malaysia,13
81,Belarus,2
82,Greece,6
89,Morocco,1
90,Azerbaijan,1
91,Lebanon,6
92,Indonesia,9
93,China,40
94,Vietnam,2
97,Bulgaria,1
101,Jordan,3
106,South Africa,9
108,Venezuela,5
117,Iran,6
121,Kenya,1
125,Bangladesh,2
126,Iraq,4
130,Sri Lanka,1
133,Ukraine,6
137,Egypt,6
140,India,24
