country,Number of Ranked Universities
Bangladesh,2
Indonesia,9
Venezuela,5
Czech Republic,5
Sweden,8
Jordan,3
Ireland,8
Singapore,3
Sri Lanka,1
Brunei,2
Portugal,7
Finland,10
Colombia,11
Ukraine,6
Saudi Arabia,8
Cuba,1
Macau,1
Latvia,3
France,35
Slovakia,3
Israel,6
Kenya,1
Malaysia,13
Kuwait,1
Hong Kong,7
Bosnia and Herzegovina,1
Philippines,4
United States,157
Turkey,10
China,40
Belarus,2
Qatar,1
Netherlands,13
Australia,37
Serbia,1
Bahrain,1
Spain,25
United Arab Emirates,8
Belgium,8
Taiwan,17
Thailand,8
Italy,30
Uruguay,2
Oman,1
United Kingdom,76
Germany,45
Canada,26
South Korea,30
Argentina,15
Azerbaijan,1
Slovenia,2
Greece,6
Egypt,6
Puerto Rico,1
India,24
Iran,6
Chile,11
Estonia,3
Vietnam,2
South Africa,9
Peru,3
Kazakhstan,10
Japan,44
Denmark,5
Iraq,4
Switzerland,9
Ecuador,3
New Zealand,8
Hungary,6
Russia,27
Norway,4
Pakistan,7
Romania,5
Brazil,22
Austria,8
Panama,1
Lithuania,4
Bulgaria,1
Croatia,1
Morocco,1
Mexico,14
Palestinian Territory,1
Poland,14
Lebanon,6
Costa Rica,4
